Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Market value
"NXT","Nextpower Inc","1,389,786.00","10.25%","Common Stock","65290E101","$200,532,221.94"
"FSLR","First Solar Inc","848,045.00","10.12%","Common Stock","336433107","$197,908,261.65"
"ENPH","Enphase Energy Inc","2,836,909.00","7.67%","Common Stock","29355A107","$150,044,117.01"
"ENLT","Enlight Renewable Energy Ltd","1,559,218.40","6.79%","Common Stock","M4056D110","$132,783,740.81"
"SEDG","SolarEdge Technologies Inc","1,832,900.00","5.79%","Common Stock","83417M104","$113,199,904"
"DORL","Doral Group Renewable Energy Resources Ltd","3,056,218.00","4.59%","Common Stock","M2841E104","$89,773,269.64"
"RUN","Sunrun Inc","6,398,244.00","4.58%","Common Stock","86771W105","$89,511,433.56"
"NOFR","OY Nofar Energy Ltd","933,267.00","4.02%","Common Stock","M7622L102","$78,554,660.52"
"HASI","HA Sustainable Infrastructure Capital Inc","1,870,758.00","3.94%","Common Stock","41068X100","$77,056,522.02"
"3800","GCL Technology Holdings Ltd","625,970,563.00","3.62%","Common Stock","G3774X108","$70,723,989.02"
"SLR","Solaria Energia y Medio Ambiente SA","2,485,801.00","3.52%","Common Stock","E8935P110","$68,870,025.27"
"SHLS","Shoals Technologies Group Inc","6,023,597.00","3.18%","Common Stock","82489W107","$62,223,757.01"
"ARRY","Array Technologies Inc","5,908,343.00","2.71%","Common Stock","04271T100","$52,997,836.71"
"968","Xinyi Solar Holdings Ltd","136,387,139.00","2.65%","Common Stock","G9829N102","$51,861,461.95"
"CWEN","Clearway Energy Inc","1,353,147.00","2.51%","Common Stock","18539C204","$49,186,893.45"
"GRE","Grenergy Renovables SA","347,706.00","2.43%","Common Stock","E5R20V102","$47,618,552.33"
"S92","SMA Solar Technology AG","618,114.00","2.32%","Common Stock","D7008K108","$45,401,067.62"
"ENRG","Energix-Renewable Energies Ltd","5,792,833.00","2.27%","Common Stock","M4047G115","$44,413,635.33"
"DQ","Daqo New Energy Corp","1,867,508.00","1.74%","American Depository Receipt","23703Q203","$33,969,970.52"
"CSIQ","Canadian Solar Inc","1,695,242.00","1.55%","Common Stock","136635109","$30,310,926.96"
"JKS","JinkoSolar Holding Co Ltd","1,223,659.00","1.54%","American Depository Receipt","47759T100","$30,102,011.40"
"322000","HD Hyundai Energy Solutions Co Ltd","229,497.00","1.53%","Common Stock","Y3R1F3103","$29,971,143.03"
"3576","United Renewable Energy Co Ltd/Taiwan","52,904,458.00","1.46%","Common Stock","Y6247H139","$28,622,838.43"
"SCATC","Scatec ASA","2,550,298.00","1.46%","Common Stock","R7562P100","$28,505,509.73"
"6443","TSEC Corp","20,151,000.00","1.24%","Common Stock","Y89777109","$24,272,511.16"
"1407","West Holdings Corp","1,213,432.00","1.18%","Common Stock","J9509G101","$23,022,687.97"
"6865","Flat Glass Group Co Ltd","19,712,240.00","1.08%","Common Stock","Y2575W103","$20,740,386.61"
"RNW","ReNew Energy Global PLC","3,542,385.00","0.97%","Common Stock","G7500M104","$18,951,759.75"
"6244","Motech Industries Inc","21,134,000.00","0.94%","Common Stock","Y61397108","$18,350,637.12"
"3868","Xinyi Energy Holdings Ltd","106,184,047.00","0.89%","Common Stock","G9833A104","$17,470,079.83"
"2406","Gigastorage Corp","17,832,000.00","0.89%","Common Stock","Y2712P102","$17,333,038.76"
"AGPXX","Invesco Government & Agency Portfolio","7,983,866.52","0.41%","Money Market Fund, Taxable","825252885","$7,983,866.52"
"TWD","CASH & EQUIVALENTS","109,287,763.00","0.18%","Currency","--","$3,465,602.12"
"JPY","CASH & EQUIVALENTS","11,065,841.00","0.00%","Currency","CASHJPY06","$69,774.21"
"USD","CASH & EQUIVALENTS","48,534.49","0.00%","Currency","CASHUSD00","$48,534.49"
"KRW","CASH & EQUIVALENTS","711,632.00","0.00%","Currency","CASHKRW02","$473.93"
"NOK","CASH & EQUIVALENTS","3,423.98","0.00%","Currency","--","$367.92"
"CHF","CASH & EQUIVALENTS","89.87","0.00%","Currency","CASHCHF02","$114.29"
"--","SECURITIES LENDING - BNYM","1.00","0.00%","Uninvestible Cash","BNYMLEND","$0.01"
"ILS","CASH & EQUIVALENTS","-7,714.23","0.00%","Currency","--","-$2,642.67"
"HKD","CASH & EQUIVALENTS","-39,437.15","0.00%","Currency","--","-$5,036.64"
"EUR","CASH & EQUIVALENTS","-27,791.10","0.00%","Currency","CASHEUR08","-$32,321.06"

# as of 2026-05-15